Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,10,0.9099999999999999,0.61,0.5154533168344464
75% Corpus,10,0.9099999999999999,0.9099999999999999,0.5546562435305618
75% Corpus,10,0.9099999999999999,symmetric,0.5147564151885217
75% Corpus,10,symmetric,0.01,0.4909448585109672
75% Corpus,10,symmetric,0.31,0.47228681700895586
75% Corpus,10,symmetric,0.61,0.4562360298711464
75% Corpus,10,symmetric,0.9099999999999999,0.46170555704776756
75% Corpus,10,symmetric,symmetric,0.48502523760271055
75% Corpus,10,asymmetric,0.01,0.5108702334712816
75% Corpus,10,asymmetric,0.31,0.49375137873099967
75% Corpus,10,asymmetric,0.61,0.46727491969244517
75% Corpus,10,asymmetric,0.9099999999999999,0.4413800115459856
75% Corpus,10,asymmetric,symmetric,0.49821766593300404
100% Corpus,2,0.01,0.01,0.4820858277199429
100% Corpus,2,0.01,0.31,0.46771699713053383
100% Corpus,2,0.01,0.61,0.44990603984505223
100% Corpus,2,0.01,0.9099999999999999,0.414906923027943
100% Corpus,2,0.01,symmetric,0.46958845849394504
100% Corpus,2,0.31,0.01,0.4433907986413427
100% Corpus,2,0.31,0.31,0.43551199211847375
100% Corpus,2,0.31,0.61,0.4391850206351295
100% Corpus,2,0.31,0.9099999999999999,0.4177210602917339
100% Corpus,2,0.31,symmetric,0.4415101587248881
100% Corpus,2,0.61,0.01,0.4633362908244566
100% Corpus,2,0.61,0.31,0.41167296164028766
100% Corpus,2,0.61,0.61,0.40523826300620075
100% Corpus,2,0.61,0.9099999999999999,0.4568451587707495
100% Corpus,2,0.61,symmetric,0.4216295026571554
100% Corpus,2,0.9099999999999999,0.01,0.4343345103433934
100% Corpus,2,0.9099999999999999,0.31,0.42455076839485545
100% Corpus,2,0.9099999999999999,0.61,0.4224096010374816
100% Corpus,2,0.9099999999999999,0.9099999999999999,0.43209294801588155
100% Corpus,2,0.9099999999999999,symmetric,0.43525338612338144
100% Corpus,2,symmetric,0.01,0.46291192570569517
100% Corpus,2,symmetric,0.31,0.455494680618404
100% Corpus,2,symmetric,0.61,0.4432623170530515
100% Corpus,2,symmetric,0.9099999999999999,0.39452089795493683
100% Corpus,2,symmetric,symmetric,0.4822515943979865
100% Corpus,2,asymmetric,0.01,0.45658086702822576
100% Corpus,2,asymmetric,0.31,0.4579346451130486
100% Corpus,2,asymmetric,0.61,0.4316072939713238
100% Corpus,2,asymmetric,0.9099999999999999,0.41939199414019734
100% Corpus,2,asymmetric,symmetric,0.44926290350065623
100% Corpus,3,0.01,0.01,0.4819279625049422
100% Corpus,3,0.01,0.31,0.4635055067240927
100% Corpus,3,0.01,0.61,0.4426526798587858
100% Corpus,3,0.01,0.9099999999999999,0.3816295461134146
100% Corpus,3,0.01,symmetric,0.48593215500209724
100% Corpus,3,0.31,0.01,0.4433907986413427
100% Corpus,3,0.31,0.31,0.4313969856049482
100% Corpus,3,0.31,0.61,0.4344029547983673
100% Corpus,3,0.31,0.9099999999999999,0.4177210602917339
100% Corpus,3,0.31,symmetric,0.4415101587248881
100% Corpus,3,0.61,0.01,0.45554896024005087
100% Corpus,3,0.61,0.31,0.41241021303662173
100% Corpus,3,0.61,0.61,0.40789546139390664
100% Corpus,3,0.61,0.9099999999999999,0.4568451587707495
100% Corpus,3,0.61,symmetric,0.4189221073084277
100% Corpus,3,0.9099999999999999,0.01,0.4498870721189306
100% Corpus,3,0.9099999999999999,0.31,0.44545595537036686
100% Corpus,3,0.9099999999999999,0.61,0.43302692437231266
100% Corpus,3,0.9099999999999999,0.9099999999999999,0.43209294801588155
100% Corpus,3,0.9099999999999999,symmetric,0.4466042548803529
100% Corpus,3,symmetric,0.01,0.48441832951775454
100% Corpus,3,symmetric,0.31,0.43601211311382393
100% Corpus,3,symmetric,0.61,0.46190637063295936
100% Corpus,3,symmetric,0.9099999999999999,0.4150308181970267
100% Corpus,3,symmetric,symmetric,0.464357370801045
100% Corpus,3,asymmetric,0.01,0.45658086702822576
100% Corpus,3,asymmetric,0.31,0.44588802349200823
100% Corpus,3,asymmetric,0.61,0.4231056382053338
100% Corpus,3,asymmetric,0.9099999999999999,0.4176221853617993
100% Corpus,3,asymmetric,symmetric,0.4500911895842277
100% Corpus,4,0.01,0.01,0.4761737110666008
100% Corpus,4,0.01,0.31,0.4726672648893941
100% Corpus,4,0.01,0.61,0.44131417401409345
100% Corpus,4,0.01,0.9099999999999999,0.41238420542478327
100% Corpus,4,0.01,symmetric,0.47750437245849786
100% Corpus,4,0.31,0.01,0.4334024318871806
100% Corpus,4,0.31,0.31,0.43551199211847375
100% Corpus,4,0.31,0.61,0.4344029547983673
100% Corpus,4,0.31,0.9099999999999999,0.4177210602917339
100% Corpus,4,0.31,symmetric,0.4415101587248881
100% Corpus,4,0.61,0.01,0.4382908009642167
100% Corpus,4,0.61,0.31,0.41122938965124806
100% Corpus,4,0.61,0.61,0.42728305013697276
100% Corpus,4,0.61,0.9099999999999999,0.4766038041264601
100% Corpus,4,0.61,symmetric,0.43048021933686503
100% Corpus,4,0.9099999999999999,0.01,0.45244767535350466
100% Corpus,4,0.9099999999999999,0.31,0.42455076839485545
100% Corpus,4,0.9099999999999999,0.61,0.4224096010374816
100% Corpus,4,0.9099999999999999,0.9099999999999999,0.43209294801588155
100% Corpus,4,0.9099999999999999,symmetric,0.46378317455795515
100% Corpus,4,symmetric,0.01,0.48692293227423605
100% Corpus,4,symmetric,0.31,0.46839201429734106
100% Corpus,4,symmetric,0.61,0.4617527746893016
100% Corpus,4,symmetric,0.9099999999999999,0.38648510308041684
100% Corpus,4,symmetric,symmetric,0.4822515943979865
100% Corpus,4,asymmetric,0.01,0.4645170930548816
100% Corpus,4,asymmetric,0.31,0.450539442529308
100% Corpus,4,asymmetric,0.61,0.4238724839534812
100% Corpus,4,asymmetric,0.9099999999999999,0.40714984795764886
100% Corpus,4,asymmetric,symmetric,0.43939481643882106
100% Corpus,5,0.01,0.01,0.4773465542600345
100% Corpus,5,0.01,0.31,0.47503747231974414
100% Corpus,5,0.01,0.61,0.4465412072967923
100% Corpus,5,0.01,0.9099999999999999,0.414906923027943
100% Corpus,5,0.01,symmetric,0.4738885038937495
100% Corpus,5,0.31,0.01,0.44036000036786405
100% Corpus,5,0.31,0.31,0.4313969856049482
100% Corpus,5,0.31,0.61,0.4344029547983673
100% Corpus,5,0.31,0.9099999999999999,0.4335186094545655
100% Corpus,5,0.31,symmetric,0.4415101587248881
100% Corpus,5,0.61,0.01,0.4593334257292431
100% Corpus,5,0.61,0.31,0.4103607117814665
100% Corpus,5,0.61,0.61,0.44357647851266285
100% Corpus,5,0.61,0.9099999999999999,0.4766038041264601
100% Corpus,5,0.61,symmetric,0.4319628577198407
100% Corpus,5,0.9099999999999999,0.01,0.4498870721189306
100% Corpus,5,0.9099999999999999,0.31,0.42455076839485545
100% Corpus,5,0.9099999999999999,0.61,0.42929984898876816
100% Corpus,5,0.9099999999999999,0.9099999999999999,0.43209294801588155
100% Corpus,5,0.9099999999999999,symmetric,0.46378317455795515
100% Corpus,5,symmetric,0.01,0.4740563969143488
100% Corpus,5,symmetric,0.31,0.43807786375523106
100% Corpus,5,symmetric,0.61,0.4598046343578009
100% Corpus,5,symmetric,0.9099999999999999,0.4024137122663748
100% Corpus,5,symmetric,symmetric,0.47040049184267385
100% Corpus,5,asymmetric,0.01,0.47301259663931844
100% Corpus,5,asymmetric,0.31,0.4400974971550132
100% Corpus,5,asymmetric,0.61,0.4217210221785443
100% Corpus,5,asymmetric,0.9099999999999999,0.4153780946415955
100% Corpus,5,asymmetric,symmetric,0.44286149071937064
100% Corpus,6,0.01,0.01,0.47831524339321546
100% Corpus,6,0.01,0.31,0.46301008473905425
100% Corpus,6,0.01,0.61,0.4461852775042569
100% Corpus,6,0.01,0.9099999999999999,0.40213488029632255
100% Corpus,6,0.01,symmetric,0.4744141569082577
100% Corpus,6,0.31,0.01,0.471838457275897
100% Corpus,6,0.31,0.31,0.43551199211847375
100% Corpus,6,0.31,0.61,0.4344029547983673
100% Corpus,6,0.31,0.9099999999999999,0.4177210602917339
100% Corpus,6,0.31,symmetric,0.4516290279390936
100% Corpus,6,0.61,0.01,0.4668249217692543
100% Corpus,6,0.61,0.31,0.4231583192874072
100% Corpus,6,0.61,0.61,0.40523826300620075
100% Corpus,6,0.61,0.9099999999999999,0.4568451587707495
100% Corpus,6,0.61,symmetric,0.42992754146772294
100% Corpus,6,0.9099999999999999,0.01,0.45244767535350466
100% Corpus,6,0.9099999999999999,0.31,0.42455076839485545
100% Corpus,6,0.9099999999999999,0.61,0.4224096010374816
100% Corpus,6,0.9099999999999999,0.9099999999999999,0.4445737340634099
100% Corpus,6,0.9099999999999999,symmetric,0.4600145647136415
100% Corpus,6,symmetric,0.01,0.4838173451474215
100% Corpus,6,symmetric,0.31,0.4401896690236905
100% Corpus,6,symmetric,0.61,0.4575037254129201
100% Corpus,6,symmetric,0.9099999999999999,0.4150308181970267
100% Corpus,6,symmetric,symmetric,0.45311367101689715
100% Corpus,6,asymmetric,0.01,0.45658086702822576
100% Corpus,6,asymmetric,0.31,0.4569633566061647
100% Corpus,6,asymmetric,0.61,0.42956452376843146
100% Corpus,6,asymmetric,0.9099999999999999,0.46217118719478034
100% Corpus,6,asymmetric,symmetric,0.4524492184459149
100% Corpus,7,0.01,0.01,0.47860116391021224
100% Corpus,7,0.01,0.31,0.46658013679803256
100% Corpus,7,0.01,0.61,0.44775201460588504
100% Corpus,7,0.01,0.9099999999999999,0.3960440795062146
100% Corpus,7,0.01,symmetric,0.4716713292939997
100% Corpus,7,0.31,0.01,0.45386009449933445
100% Corpus,7,0.31,0.31,0.4558709437974452
100% Corpus,7,0.31,0.61,0.4391850206351295
100% Corpus,7,0.31,0.9099999999999999,0.44795699942951217
100% Corpus,7,0.31,symmetric,0.44306423386155436
100% Corpus,7,0.61,0.01,0.44416776585324813
100% Corpus,7,0.61,0.31,0.41241021303662173
100% Corpus,7,0.61,0.61,0.42898366138005883
100% Corpus,7,0.61,0.9099999999999999,0.4502062008297546
100% Corpus,7,0.61,symmetric,0.4216295026571554
100% Corpus,7,0.9099999999999999,0.01,0.4498870721189306
100% Corpus,7,0.9099999999999999,0.31,0.42455076839485545
100% Corpus,7,0.9099999999999999,0.61,0.4224096010374816
100% Corpus,7,0.9099999999999999,0.9099999999999999,0.43209294801588155
100% Corpus,7,0.9099999999999999,symmetric,0.4541701366763973
100% Corpus,7,symmetric,0.01,0.47968696569218006
100% Corpus,7,symmetric,0.31,0.46839201429734106
100% Corpus,7,symmetric,0.61,0.4577864487500258
100% Corpus,7,symmetric,0.9099999999999999,0.4024137122663748
100% Corpus,7,symmetric,symmetric,0.4606342757212979
100% Corpus,7,asymmetric,0.01,0.46850327359298793
